kid,schlag ,k.typ,ko.a,ko.d,w.t,w.b,k.z,block,aves,mamm,invert,fl.kot,q.typ,fl.art,fl.ges,fl.m,fl.w,fl.ad,fl.juv
bk005,bk,bgk,10,4,21,b,i,n,k,n,n,0,0,n,0,0,0,0,0
hb001,hb,bgk,10,6,19,r,lb,n,k,n,n,0,0,n,0,0,0,0,0
hb003,hb,mk,10,6,19,r,i,n,k,n,n,1,0,n,0,0,0,0,0
hb005,hb,sfk,10,6,19,r,i,n,n,n,wn,1,5,Pip.nathusii,1,1,0,1,0
hb006,hb,mk,10,6,19,r,i,n,m,n,n,1,0,n,0,0,0,0,0
hb007,hb,mk,10,6,19,r,i,n,m,n,n,1,5,M.nattereri,1,1,0,1,0
hb008,hb,mk,10,6,19,r,i,n,m,n,n,1,0,n,0,0,0,0,0
hk001,hk,hfk,10,2,27,s,sb,n,n,n,n,0,0,n,0,0,0,0,0
hk001,hk,hfk,13,NA,NA,NA,sb,n,n,n,n,0,0,n,0,0,0,0,0
hk002,hk,bgk,10,2,27,s,lb,n,m,n,n,1,NA,M.nattereri,4,NA,NA,NA,NA
hk002,hk,bgk,13,NA,NA,NA,lb,n,m,n,n,1,0,n,0,0,0,0,0
hk003,hk,bgk,10,2,27,s,i,ne,m,n,n,0,0,n,0,0,0,0,0
hk004,hk,mk,10,2,27,s,lb,n,n,n,n,1,0,n,0,0,0,0,0
hk004,hk,mk,13,NA,NA,NA,lb,n,k,n,n,1,1,M.nattereri,1,1,0,1,0
hk005,hk,bgk,10,2,27,s,sb,ne,m,n,n,1,0,n,0,0,0,0,0
hk005,hk,bgk,13,NA,NA,NA,sb,b,m,n,n,1,0,n,0,0,0,0,0
hk006,hk,mk,10,2,27,s,i,n,m,n,s,1,0,n,0,0,0,0,0
hk006,hk,mk,13,NA,NA,NA,i,n,m,n,s,1,0,n,0,0,0,0,0
hk007,hk,mk,10,2,27,s,sb,n,k,n,n,1,0,n,0,0,0,0,0
hk007,hk,mk,13,NA,NA,NA,sb,n,m,n,n,1,5,Plec.auritus,16,NA,NA,NA,NA
hk008,hk,bgk,10,4,21,b,i,n,m.k,n,n,1,0,n,0,0,0,0,0
hk009,hk,bgk,10,2,27,s,i,n,m,n,a,1,0,n,0,0,0,0,0
hk009,hk,bgk,13,NA,NA,NA,d,n,k,n,n,1,0,n,0,0,0,0,0
hk010,hk,bgk,10,2,27,s,lb,ne,k.m,n,n,1,0,n,0,0,0,0,0
hk010,hk,bgk,13,NA,NA,NA,lb,n,k.m,n,n,1,0,n,0,0,0,0,0
hk011,hk,bgk,10,2,27,s,i,n,m,n,n,1,0,n,0,0,0,0,0
hk011,hk,bgk,13,NA,NA,NA,i,n,m,n,n,1,5,M.daubentonii,22,NA,NA,NA,NA
hk012,hk,bgk,10,2,27,s,i,n,m.k,n,a,0,0,n,0,0,0,0,0
hk012,hk,bgk,13,NA,NA,NA,sb,n,k.m,n,n,1,0,n,0,0,0,0,0
hk013,hk,bgk,10,2,27,s,i,i,n,n,w,0,0,n,0,0,0,0,0
hk013,hk,bgk,13,NA,NA,NA,sb,n,k,n,n,1,1,M.daubentonii,1,0,1,1,0
hk014,hk,bgk,10,2,27,s,lb,n,m,n,m,1,0,n,0,0,0,0,0
hk014,hk,bgk,13,NA,NA,NA,lb,i,tm.k.m,n,hu,1,0,n,0,0,0,0,0
hk015,hk,bgk,10,2,27,s,sb,n,n,n,n,1,5,Nyc.noctula,3,NA,NA,NA,NA
hk015,hk,bgk,13,NA,NA,NA,sb,b,k.m,n,n,1,0,n,0,0,0,0,0
hk016,hk,bgk,10,2,27,s,lb,n,k,n,a,0,0,n,0,0,0,0,0
hk016,hk,bgk,13,NA,NA,NA,lb,ne,m,n,n,1,0,n,0,0,0,0,0
hk017,hk,bgk,10,2,27,s,i,n,n,n,wn,1,0,n,0,0,0,0,0
