kid,schlag,knr,ktyp,gpsr,gpsh,koa,kod,wt,wb,kz,vn,aves,mamm,invert,flkot,qtyp,flart,flges,flm,flw,flad,fljuv,sonstiges
m011,m,323,mk,4468503,5393291,10,3,35,s,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
m013,m,335,mk,4468239,5393582,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0,5
m014,m,336,mk,4468216,5393601,10,3,35,s,i,1,1,0,0,0,0,0,0,0,0,0,0,0
m014,m,336,mk,4468216,5393601,13,NA,NA,NA,sb,1,1,0,0,1,2,Pip.pygmaeus,1,1,0,1,0,0
m015,m,341,NA,NA,NA,13,NA,NA,NA,NA,0,0,0,0,1,5,M.nattereri,7,0,0,5,2,0
m016,m,350,NA,NA,NA,13,NA,NA,NA,i,0,0,0,0,1,5,Plec.auritus,0,0,0,0,0,0
m017,m,376,NA,4468238,5393331,13,NA,NA,NA,sb,2,2,0,0,1,0,0,0,0,0,0,0,4
m018,m,378,mk,4468183,5393421,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0,6
m018,m,378,mk,4468183,5393421,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0,3
m019,m,380,mk,4468109,5393529,10,3,35,s,lb,1,2,0,0,1,2,M.daubentonii,1,1,0,1,0,0
m019,m,380,mk,4468109,5393529,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
m020,m,383,mk,4468089,5393597,10,3,35,s,i,1,2,0,0,1,5,Plec.auritus,16,0,0,0,0,5
m020,m,383,mk,4468089,5393597,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0,3
m021,m,384,mk,4468081,5393641,10,3,35,s,i,1,2,1,0,1,0,0,0,0,0,0,0,7
m022,m,386,NA,NA,NA,13,NA,NA,NA,sb,1,2,0,0,1,0,0,0,0,0,0,0,0
m023,m,388,bgk,4468235,5393193,10,3,35,s,lb,1,1,0,0,0,0,0,0,0,0,0,0,5
m023,m,388,bgk,4468235,5393193,13,NA,NA,NA,sb,1,1,0,0,1,5,M.nattereri,4,0,0,3,1,0
m024,m,390,NA,4468208,5393104,13,NA,NA,NA,sb,1,3,0,0,1,0,0,0,0,0,0,0,0
m025,m,396 (ehem. 394 oder 395),mk,4468189,5393344,10,3,35,s,i,3,2,0,0,0,0,0,0,0,0,0,0,5 4
m026,m,509,mk,4468582,5393190,10,3,35,s,i,0,0,0,0,1,0,0,0,0,0,0,0,0
m026,m,509,mk,4468582,5393190,13,NA,NA,NA,sb,1,1,0,0,1,0,0,0,0,0,0,0,0
m027,m,2T,fk,4468236,5393183,10,3,35,s,lb,0,0,0,0,1,0,0,0,0,0,0,0,0
m027,m,2T,fk,4468236,5393183,13,NA,NA,NA,sb,2,2,0,0,1,2,M.nattereri,1,1,0,1,0,4
m028,m,335A,svk,4468240,5393589,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0,0
m029,m,396A (ehem. 396),mk,4468081,5393455,10,3,35,s,i,1,2,0,0,1,5,M.nattereri,9,0,0,0,0,5
m029,m,396A (ehem. 396),mk,4468081,5393455,13,NA,NA,NA,sb,2,2,0,0,0,0,0,0,0,0,0,0,4
m030,m,397,mk,4468047,5393505,10,3,35,s,i,1,2,0,0,1,0,0,0,0,0,0,0,5
m031,m,397C,bgk,4468130,5393397,10,3,35,s,lb,0,0,0,0,1,0,0,0,0,0,0,0,8
m031,m,397C,bgk,4468130,5393397,13,NA,NA,NA,sb,NA,NA,0,0,1,0,0,0,0,0,0,0,0
m032,m,7F,fk,4468160,5393455,10,3,35,s,sb,0,0,0,0,1,0,0,0,0,0,0,0,3
m032,m,7F,fk,4468160,5393455,13,NA,NA,NA,sb,2,2,0,0,0,0,0,0,0,0,0,0,4
m033,m,C4,fk,4468111,5393409,10,3,35,s,lb,0,0,0,0,1,0,0,0,0,0,0,0,0
m033,m,C4,fk,4468111,5393409,13,NA,NA,NA,sb,2,2,0,0,0,0,0,0,0,0,0,0,4
m034,m,C7,hfk,4468370,5393467,10,3,35,s,i,0,0,0,0,1,0,0,0,0,0,0,0,5
